,question,cluster
2075,"do the `` conditions '' or rates need to be approved by the acquirers ( and maybe even procesors ) ?
",0
2076,"what happens in case that the acquiring bank is the same the issuer ?
",7
2077,"as in the bank that issues the credit card to the customer also had a deal with the grocer ?
",7
2078,"in the video example , would bank a be an acquirer ?
",7
2079,"who would typically get the annual fees that some credit cards charge ?
",7
2080,"so if a retailer is banking with one bank ( for this question we will say capital one ) , then how is it that they can accept both visa and master card ?
",7
2081,"how long does it take for an award letter to arrive to you ?
",1
2082,"as following yr 110 + 10 % ( 110 ) , i could n't understand how to get the 1.1 of 100 ( 1.1 ) .. and what is the square of 100 ( 1.1 ) ^2 representing ?
",2
2083,"has simple interest ever been applied to real-world situations ?
",3
2084,"so you get 10 % interest no matter how much money the original amount is ?
",7
2085,"why do banks charge intrest ?
",7
2086,"so the bank pays you to keep your money in the bank ?
",7
2087,"why not rely only on simple interest ?
",3
2088,"what was the balance ( including interest ) due on the note november 20 ?
",2
2089,"would i=prt work in these situations ?
",9
2090,"what will be the value of the cd in 2 years ?
",2
2091,"or can it be interest by month , or even day ?
",1
2092,"is n't 5 % written .05 instead of .005 ?
",2
2093,"are there such things as ''orientations '' at a university ?
",1
2094,"how do you make apps ?
",5
2095,"when you file for chapter 7 bankruptcy and all your assets are sold and divided amongst your creditors by the government , if that does n't suffice to pay back your creditors , will the government pay the difference ?
",7
2096,"is there a type of bankruptcy that does forgive student loans ?
",7
2097,"are chapter 7 ( liquidation ) for companies and chapter 7 ( straight bankruptcy ) the same chapter 7 ?
",2
2098,"are there any tips on how to manage time if you 're already in college ?
",9
2099,"why do you have to pay to take these tests ?
",7
2100,"is it better to take the act with writing ?
",9
2101,"is there some sort of practice test you can do for the act ?
",9
2102,"how can i see my act score ?
",9
2103,"what is a passing score ?
",2
2104,"i want to major in the medical field so which tests will help me ?
",9
2105,"is there really such a thing as a perfect customer ?
",9
2106,"why do public colleges cost more money than private colleges ?
",7
2107,"i=stated annual interest rate ( in this video 22.9 % ) , n=number of compounding periods ( in this video 365 days ) ?
",0
2108,"is it the 0,06274 % that i pay to the credit card company each day ?
",7
2109,"hello , can anyone tell me how to calculate an annual percentage rate ?
",0
2110,"also , how do you decide which structure would be right for your company ?
",9
2111,"can international student ask for common application fee waiver ?
",7
2112,"which schools are on your list right now ?
",1
2113,"would the amount withdrawn from ira be part of the income ?
",7
2114,"when sal refers to the principle amount in the roth ira , is this the amount of money you opened the account with or all money you have deposited in the account over the years ?
",7
2115,"sal says , `` you might have to pay taxes ... '' what determines whether somebody has to pay taxes on the forgiven amount ?
",7
2116,"because if the debtor pays the taxes for that $ 30k ( which is partly the loss of the bank ) , the tax just goes to the government not the bank , does n't it ?
",7
2117,"is it legal for the bank to not report the short sale to credit agencies ?
",7
2118,"if the bank agrees to a short sale , does down payment go back to the owner or the bank ?
",7
2119,"does the interest go to a different bank than the amount being paid for the mortgage ?
",7
2120,"is there any mortgage that works like the opposite of the fixed rate mortgage ?
",7
2121,"can you go over a fha mortgage ?
",7
2122,"at 13:28 , what does sal mean when he says `` when the bank will be taking a loss on your loan '' ?
",7
2123,"can the treasury raise intrest at their will , or does it go wuth the ecomnmy ?
",7
2124,"what is the definition of compound interest ?
",3
2125,"this is how to calculate compounding interest ... how would you calculate simple interest ?
",3
2126,"since the original amount of $ 100 will probably change through out the year with withdrawals and deposits , e.g at the end of the year it could be $ 62 or $ 130 , what amount in the account after one year do they use to calculate the interest ?
",7
2127,"do all banks apply compound interest ?
",7
2128,"in the video sal told that bank calculate interest continously.. when i check my bank website it told that it gives 5 % interest on saving account ( p.a ) what does really continuously mean.. does it mean it will compound my balance every hour or a month or only after a completion of year ?
",7
2129,"how long does it actually take to double your money if you have 10 % compound interest ?
",9
2130,"how do you make interest easy ?
",9
2131,"and what is the difference between a landlord and real estate ?
",7
2132,"so i cant take a continuous 3 yrs of math.. i have taken math only till 10th grade..am i at a disadvantage ?
",2
